10 7 419 1119
4 8 67 815
0 7 537 1089
0 3 547 1021
2 1 64 1046
4 0 284 1277
10 3 440 766
7 5 438 722
6 8 487 1222
1 3 131 1137
10 4 428 1175
10 9 632 1278
10 4 499 1178
6 9 462 781
2 1 664 786
3 0 634 1383
1 4 70 1008
7 6 140 1019
4 6 549 866
6 4 679 1347
6 7 233 1054
2 5 166 1313
8 9 436 880
9 3 517 1187
2 3 328 1321
0 5 440 738
10 8 542 1143
5 7 612 1089
10 5 382 1170
8 7 711 853
8 9 51 1271
1 4 16 1236
8 0 342 1266
2 9 682 1357
1 7 334 1145
9 6 465 1277
4 9 61 1089
9 8 427 1307
2 5 224 1009
7 4 57 1436
8 2 358 845
7 6 15 912
8 1 313 813
6 2 97 1108
10 5 517 732
10 3 715 1158
1 6 95 1132
7 4 27 1422
4 9 299 952
2 0 546 775
7 9 525 953
4 1 283 867
4 6 97 738
8 9 298 833
9 9 45 1292
6 3 598 988
10 6 679 913
2 4 654 834
3 1 357 1366
3 5 575 804
2 8 720 1314
4 7 684 1291
0 1 401 936
3 6 370 1098
6 0 567 940
4 9 515 865
0 5 301 864
3 9 426 1337
9 8 125 1190
10 5 409 1246
7 8 682 899
1 8 317 1239
5 8 583 936
6 8 433 756
7 4 580 1399
6 6 610 1057
4 7 459 1042
3 7 190 873
0 0 381 1411
2 2 712 1390
2 8 601 1122
3 10 299 986
0 9 330 1248
2 6 302 764
2 0 553 1387
10 5 613 1379
1 3 183 773
7 0 553 1148
5 8 279 1380
7 6 179 1438
3 6 424 1371
0 3 621 1078
10 1 602 1009
3 4 91 940
6 8 617 740
8 5 431 1225
3 1 590 845
1 1 67 911
5 0 332 1124
7 0 172 903
