1 Spijkenisse
2 Algeciras
3 Parramatta
4 Columbia
5 Colorno
6 Tourcoing
7 Trento
8 Zolder
9 Coventry
10 Huntley
11 Poppel
12 Empoli
13 Loy
14 Toowoomba
15 Kirkcaldy
16 Bearberry
17 Hillsboro
18 Sambhal
19 Vancouver
20 Oakham
21 "Santa Maria a Monte"
22 Braives
23 Nedlands
24 Falkensee
25 Fochabers
26 Girona
27 Whakatane
28 Inuvik
29 "Hay River"
30 Berloz
31 Abohar
32 Rivello
33 Osgoode
34 "North Barrackpur"
35 "Rocca San Felice"
36 Fiumara
37 Alix
38 "Rocca d'Arce"
39 Whitchurch-Stouffville
40 Dilsen-Stokkem
41 Tsiigehtchic
42 Gespeg
43 Oristano
44 "Pitt Meadows"
45 Iqaluit
46 Ravenstein
47 Middelkerke
48 Pievepelago
49 Narbonne
50 Caplan
51 Guilmi
52 "Pike Creek"
53 Jabbeke
54 Vöcklabruck
55 Avelgem
56 "Cache Creek"
57 Tresigallo
58 "Rocca San Felice"
59 Coaldale
60 Nagpur
61 "Salt Lake City"
62 Mobile
63 Lodelinsart
64 Salamanca
65 Luton
66 Pune
67 Pratovecchio
68 Edmonton
69 Lens-Saint-Servais
70 Valda
71 Charny
72 Broxburn
73 Thame
74 "Coleville Lake"
75 Etobicoke
76 Paradise
77 Louisville
78 Gatineau
79 Nuragus
80 Spijkenisse
81 Owensboro
82 Nashik
83 "Saint Andr�"
84 Malahide
85 Brussegem
86 Smetlede
87 Pictou
88 "Tumbler Ridge"
89 Tiruvannamalai
90 S�lange
91 Arsoli
92 Nairn
93 Pontevedra
94 "Grey County"
95 "Bad Homburg v. d. H�he"
96 Villingen-Schwennin
97 Lecce
98 B�blingen
99 Gujranwala
100 Vannes
